contractor,month,row,level,block,waste,CF2,CF3,cr-cf2,cr-cf3,cr-oxid,cr-sum,CF3-LP,OXID,ton,sum
700,7,31,1135,EL811-1135T,0,10,17,100,0,0,100,0,0,13335,127
700,7,32,1495,E14984-1495,322,0,0,0,0,0,0,0,0,32200,322
700,7,33,1495,EL829-1495,148,1,0,0,0,0,0,0,0,14905,149
700,7,34,1495,E15012-1495M,560,0,0,0,0,0,0,0,0,56000,560
700,7,35,1495,E15000-1495,428,0,0,0,0,0,0,0,0,42800,428
700,7,36,1135,E15015-1135,0,4,41,26,50,0,76,0,0,12705,121
700,7,37,1135,E14983-1135,260,0,3,0,0,0,0,0,0,26315,263
700,7,38,1255,E15011-1255M,87,0,0,0,0,0,0,0,0,8700,87
700,7,39,1135,E14977-1135M,109,0,7,0,10,0,10,0,0,12685,126
700,7,40,1240,E14957-1240,578,2,0,0,0,0,0,0,0,58010,580
700,7,41,1495,E15018-1495T,252,0,0,0,0,0,0,0,0,25200,252
700,7,42,1180,E14901-1180,196,42,0,1,0,0,1,0,0,24115,239
700,7,43,1135,E15022-1135M,17,11,137,0,205,0,205,0,0,38765,370
700,7,44,1225,E14996-1225A,221,0,0,0,0,0,0,0,0,22100,221
700,7,45,1495,E15030-1495,391,0,0,0,0,0,0,0,0,39100,391
700,7,46,1135,EL833-1135,0,0,42,0,54,0,54,0,0,10080,96
700,7,47,1180,E14972-1180T,89,0,0,0,0,0,0,0,0,8900,89
700,7,48,1135,EL830-1135M,0,0,5,0,62,0,62,0,0,7035,67
700,7,49,1225,E14997-1225,129,0,0,0,0,0,0,0,0,12900,129
700,7,50,1150,EL832-1150,0,0,46,0,247,0,247,0,0,30765,293
700,8,1,1405,other-1405,1,0,0,0,0,0,0,0,0,100,1
700,8,2,1450,West-Dump,81,0,0,0,0,0,0,0,0,8100,81
700,8,3,1180,Other-1180,69,0,0,0,2,0,2,0,0,7110,71
700,8,4,1150,E14836-1150M,0,0,9,0,29,0,29,0,0,3990,38
700,8,5,1495,Other-1495,669,5,0,0,0,0,0,0,0,67425,674
700,8,6,1480,Other-1480,2191,3,0,0,0,0,0,0,0,219415,2194
700,8,7,1135,E14942-1135M,0,0,142,0,312,0,312,0,0,47670,454
700,8,8,1180,E14905-1180,0,0,1,0,21,0,21,0,0,2310,22
700,8,9,1495,E15012-1495M,0,0,3,0,23,0,23,0,0,2730,26
700,8,10,1255,E15011-1255M,39,0,0,0,0,0,0,0,0,3900,39
700,8,11,1135,E14977-1135M,16,0,0,0,0,0,0,0,0,1600,16
700,8,12,1240,E14957-1240,193,0,0,0,0,0,0,0,0,19300,193
700,8,13,1495,E15030-1495,270,0,0,0,0,0,0,0,0,27000,270
700,8,14,1180,E14972-1180T,468,0,0,0,0,0,0,0,0,46800,468
700,8,15,1225,E14997-1225,270,0,0,0,0,0,0,0,0,27000,270
700,8,16,1150,EL832-1150,0,0,50,0,129,0,129,0,0,18795,179
700,8,17,1180,E14980-1180T,488,13,31,2,67,0,69,0,0,60665,601
700,8,18,1135,E14971-1135M,0,0,185,0,330,0,330,0,0,54075,515
700,8,19,1495,E15034-1495M,798,1,0,0,0,0,0,0,0,79905,799
700,8,20,1240,E14952-1240A,55,0,0,0,0,0,0,0,0,5500,55
700,8,21,1240,E14954-1240A,77,0,0,0,0,0,0,0,0,7700,77
700,8,22,1180,E15029-1180T,0,0,198,0,161,0,161,0,0,37695,359
700,8,23,1495,E15023-1495,799,0,0,0,0,0,0,0,0,79900,799
700,8,24,1255,E15013-1255M,218,73,0,55,0,0,55,0,0,35240,346
700,8,25,1135,EL836-1135,0,0,3,0,9,0,9,0,0,1260,12
700,8,26,1180,E15047-1180,106,0,0,0,0,0,0,0,0,10600,106
700,8,27,1135,E15038-1135M,115,0,0,0,0,0,0,0,0,11500,115
700,8,28,1150,EL834-1150T,0,0,49,0,0,0,0,0,0,5145,49
700,8,29,1180,E15066-1180,0,0,251,0,285,0,285,0,0,56280,536
700,8,30,1135,E15065-1135M,0,0,172,0,332,0,332,0,0,52920,504
700,8,31,1135,EL837-1135,0,0,2,0,14,0,14,0,0,1680,16
700,8,32,1180,E15028-1180T,277,0,0,0,0,0,0,0,0,27700,277
700,8,33,1135,EL838-1135M,0,0,73,0,158,0,158,0,0,24255,231
700,8,34,1180,E15059-1180,172,0,0,0,0,0,0,0,0,17200,172
700,8,35,1495,EL840-1495,14,0,0,0,0,0,0,0,0,1400,14
700,8,36,1195,E15057-1195,79,0,0,0,0,0,0,0,0,7900,79
